,pattern,mean,std
156,13.0.0.3.1.dev7,0.21,0.4073082370883263
973,0.2a41,0.21,0.40730823708832625
694,14.0.1.0.1.dev11,0.21,0.4073082370883263
91,14.0.1.0.2.dev2,0.21,0.4073082370883263
955,13.0.1.0.1.dev9,0.21,0.4073082370883263
35,0.2a18,0.21,0.40730823708832625
185,13.0.1.0.1.dev8,0.21,0.4073082370883263
593,13.0.1.2.2.dev1,0.21,0.4073082370883263
918,0.2a29,0.21,0.40730823708832625
102,14.0.1.0.1.dev26,0.21,0.4073082370883263
916,1.2a16,0.21,0.40730823708832625
561,13.0.1.1.2.dev20,0.21,0.4073082370883263
274,14.0.2.0.1.dev1,0.21,0.4073082370883263
837,1.3a29,0.21,0.40730823708832625
176,0.3a0,0.22,0.41424630354416003
666,0.1b20230120,0.22,0.41424630354416
756,4.2b11,0.22,0.41424630354416
702,2021.1.dev24,0.22,0.4142463035441601
406,2020.8.dev44,0.22,0.4142463035441601
45,0.2a6,0.22,0.41424630354416003
543,0.6a1,0.22,0.41424630354416003
27,0.4a4,0.22,0.41424630354416003
639,2020.4.dev27,0.22,0.4142463035441601
636,0.18a0,0.22,0.41424630354416003
601,0.3a2,0.22,0.41424630354416003
377,2020.6.dev14,0.22,0.4142463035441601
